Label,Index
Left_I_IV,1
Right_I_IV,2
Left_V,3
Right_V,4
Left_VI,5
Vermis_VI,6
Right_VI,7
Left_CrusI,8
Vermis_CrusI,9
Right_CrusI,10
Left_CrusII,11
Vermis_CrusII,12
Right_CrusII,13
Left_VIIb,14
Vermis_VIIb,15
Right_VIIb,16
Left_VIIIa,17
Vermis_VIIIa,18
Right_VIIIa,19
Left_VIIIb,20
Vermis_VIIIb,21
Right_VIIIb,22
Left_IX,23
Vermis_IX,24
Right_IX,25
Left_X,26
Vermis_X,27
Right_X,28
Left_Dentate,29
Right_Dentate,30
Left_Interposed,31
Right_Interposed,32
Left_Fastigial,33
Right_Fastigial,34
