Label,Index
HIP-head-m_RH,1
HIP-head-l_RH,2
HIP-body_RH,3
HIP-tail_RH,4
THA-VPm_RH,5
THA-VPl_RH,6
THA-VAi_RH,7
THA-VAs_RH,8
THA-DAm_RH,9
THA-DAl_RH,10
PUT-VA_RH,11
PUT-DA_RH,12
PUT-VP_RH,13
PUT-DP_RH,14
CAU-VA_RH,15
CAU-DA_RH,16
CAU-body_RH,17
CAU-tail_RH,18
lAMY_RH,19
mAMY_RH,20
THA-DP_RH,21
NAc-shell_RH,22
NAc-core_RH,23
pGP_RH,24
aGP_RH,25
HIP-head-m_LH,26
HIP-head-l_LH,27
HIP-body_LH,28
HIP-tail_LH,29
THA-VPm_LH,30
THA-VPl_LH,31
THA-VAi_LH,32
THA-VAs_LH,33
THA-DAm_LH,34
THA-DAl_LH,35
PUT-VA_LH,36
PUT-DA_LH,37
PUT-VP_LH,38
PUT-DP_LH,39
CAU-VA_LH,40
CAU-DA_LH,41
CAU-body_LH,42
CAU-tail_LH,43
lAMY_LH,44
mAMY_LH,45
THA-DP_LH,46
NAc-shell_LH,47
NAc-core_LH,48
pGP_LH,49
aGP_LH,50
